"X","probA","probB","probC","payoffA","payoffB","payoffC","stimtype","exA","exB","exC","wingap","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","choice11","choice12","choice13","choice14","choice15","choice16","choice17","choice18","choice19","choice20","stimid"
164,0.82,0.61,0.79,11,29,23,1,9.02,17.69,18.17,0.48,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,2,2,3,2,2,2,3,2,3,2,3,2,3,2,2,2,3,164
1641,0.82,0.61,0.79,11,29,23,1,9.02,17.69,18.17,0.48,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,3,1,1,1,3,3,3,1,1,1,3,3,1,1,3,1,3,3,164
168,0.38,0.4,0.64,30,21,10,4,11.4,8.4,6.4,3,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,168
1681,0.38,0.4,0.64,30,21,10,4,11.4,8.4,6.4,3,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,2,3,3,2,3,3,3,3,3,2,2,3,1,2,2,2,3,168
183,0.86,0.61,0.7,14,25,21,1,12.04,15.25,14.7,0.550000000000001,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,3,3,3,3,2,2,3,3,3,2,2,3,2,3,2,3,2,2,183
1831,0.86,0.61,0.7,14,25,21,1,12.04,15.25,14.7,0.550000000000001,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,3,3,1,1,1,3,1,1,1,3,1,1,3,3,1,2,3,183
188,0.23,0.25,0.26,27,27,12,4,6.21,6.75,3.12,0.54,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,188
1881,0.23,0.25,0.26,27,27,12,4,6.21,6.75,3.12,0.54,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,2,3,3,3,3,2,3,3,3,2,2,3,2,3,3,3,188
194,0.73,0.89,0.91,10,26,23,1,7.3,23.14,20.93,2.21,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,194
1941,0.73,0.89,0.91,10,26,23,1,7.3,23.14,20.93,2.21,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,194
202,0.33,0.63,0.72,12,21,13,1,3.96,13.23,9.36,3.87,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,202
