"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0.69,0.7,0.22,12,11,17,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,8.30405034493147,8.63638043273511,3.23611309280631,"<",">",">",">","<","<"
0.69,0.7,0.22,12,11,17,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,12.348162007632,14.3935904425005,-34.095138128368,"<",">",">","=","<","<"
0.14,0.42,0.14,17,13,28,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,1.83106351307954,6.31009504714974,3.42599278777432,"<","=",">",">","<","<"
0.14,0.42,0.14,17,13,28,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,7.80969516344969,12.7628339735144,2.59621329696771,"<","=",">",">","<","<"
0.34,0.084,0.091,15,16,19,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,6.32140387096823,2.23487538421555,1.69957005268218,">",">","=","=","<","<"
0.34,0.084,0.091,15,16,19,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,20.0517868295007,-7.72239649829668,-3.8060944031608,">",">","=","=","<","<"
0.94,0.98,0.87,20,19,25,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,18.6707970985112,18.9900792521595,20.7592839417101,"<",">",">","=",">","<"
0.94,0.98,0.87,20,19,25,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,4.78269808321187,23.7295151402074,21.9918732476605,"<",">",">","=","<","<"
0.68,0.047,0.62,17,11,24,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,10.7504740156151,-1.13465031507341,15.7884116613158,">",">","<",">","<","<"
0.68,0.047,0.62,17,11,24,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,33.0686399209059,-14.0098255828076,24.3551442715519,"<",">","=",">","<","<"
0.5,0.093,0.14,10,16,22,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,5.03949533089805,1.45038066450862,2.53146605595349,">",">","<","<","<","<"
0.5,0.093,0.14,10,16,22,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,25.8851019104747,-16.6634451595247,9.91300727893687,">",">","<","<","<","<"
0.58,0.72,0.56,10,17,29,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,5.06436406201894,11.625102074813,17.8740678523681,"<",">",">","<","<","<"
0.58,0.72,0.56,10,17,29,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,23.9843031990379,14.4804969011583,20.5948871190873,"<",">",">","<","<","<"
0.47,0.94,0.13,16,11,21,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,7.87778668978164,9.00188242437715,2.2438766723077,"<",">",">",">","<","<"
0.47,0.94,0.13,16,11,21,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,-0.250463703678802,-3.34866498360638,-31.0750781851541,"<","=",">",">","<","<"
